Gyarto;Tipus;Teljesitmeny;Vegsebesseg;Gumimeret;Hatótav;Rendszam;Gyartasi_ev;Km_ora_allas
VW;e-up!;18;130;165|65-R15;130;NDL-237;2019;56582
VW;e-up!;36;130;165|65-R15;300;MXK-965;2021;37354
VW;e-up!;18;130;165|65-R15;130;AAAN-743;2023;25216
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACK-628;2019;51811
Opel;Vivaro-e;50;192;165|65-R16;320;SMH-860;2021;32008
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PUG-348;2021;38309
VW;e-up!;18;130;165|65-R15;130;PYG-442;2019;57705
Skoda;Citigo|e-iV;36;130;165|65-R16;300;SQU-434;2022;30238
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABI-729;2019;51316
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MIO-308;2019;52164
KIA;Niro-EV;65;167;165|65-R17;350;TDX-159;2023;21782
Opel;Vivaro-e;50;192;165|65-R16;320;AABF-813;2020;41812
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PDC-723;2021;33400
Skoda;Citigo|e-iV;36;130;165|65-R16;300;NXJ-997;2022;28867
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NEK-809;2022;32951
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TNJ-946;2022;29301
VW;e-up!;36;130;165|65-R15;300;MKP-918;2020;58420
VW;e-up!;36;130;165|65-R15;300;MMX-864;2021;34668
Opel;Vivaro-e;50;192;165|65-R16;320;PYG-553;2021;39141
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RKX-312;2022;30407
Opel;Vivaro-e;50;192;165|65-R16;320;AAAC-513;2023;25748
KIA;Niro-EV;65;167;165|65-R17;350;MPZ-332;2020;44340
KIA;Niro-EV;65;167;165|65-R17;350;PDF-111;2021;32662
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACK-665;2022;26264
VW;e-up!;36;130;165|65-R15;300;AABC-634;2019;53855
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABF-848;2021;36196
KIA;Niro-EV;65;167;165|65-R17;350;NLB-978;2023;23554
KIA;Niro-EV;65;167;165|65-R17;350;AAAA-941;2021;38453
Opel;Vivaro-e;50;192;165|65-R16;320;PAV-447;2023;25719
VW;e-up!;36;130;165|65-R15;300;TZP-206;2022;26641
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAB-833;2022;25497
VW;e-up!;36;130;165|65-R15;300;NSI-198;2019;52359
VW;e-up!;18;130;165|65-R15;130;SND-659;2020;46435
Skoda;Citigo|e-iV;36;130;165|65-R16;300;MPQ-926;2022;33883
KIA;Niro-EV;65;167;165|65-R17;350;SUX-953;2022;31767
Opel;Vivaro-e;50;192;165|65-R16;320;AAAO-807;2019;57685
Skoda;Citigo|e-iV;36;130;165|65-R16;300;MFG-911;2020;45308
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SXE-900;2019;53689
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACL-130;2020;40714
KIA;Niro-EV;65;167;165|65-R17;350;AAAI-092;2019;54373
VW;e-up!;36;130;165|65-R15;300;AABO-865;2019;59089
VW;e-up!;18;130;165|65-R15;130;SQP-750;2023;22485
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MHQ-869;2022;27190
KIA;Niro-EV;65;167;165|65-R17;350;TET-406;2022;33402
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAL-242;2023;26053
Opel;Vivaro-e;50;192;165|65-R16;320;MQP-904;2023;21802
VW;e-up!;18;130;165|65-R15;130;AAAJ-456;2022;26523
KIA;Niro-EV;65;167;165|65-R17;350;AACB-333;2023;21676
VW;e-up!;18;130;165|65-R15;130;ROS-694;2019;52777
KIA;Niro-EV;65;167;165|65-R17;350;AABF-264;2020;48602
VW;e-up!;18;130;165|65-R15;130;AACI-560;2019;57274
VW;e-up!;18;130;165|65-R15;130;AACB-979;2020;52234
KIA;Niro-EV;65;167;165|65-R17;350;AAAI-403;2019;55004
KIA;Niro-EV;65;167;165|65-R17;350;RCV-864;2021;35763
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NDB-014;2020;45941
VW;e-up!;18;130;165|65-R15;130;AAAB-317;2023;20630
KIA;Niro-EV;65;167;165|65-R17;350;PIL-166;2019;51220
VW;e-up!;36;130;165|65-R15;300;RRI-757;2021;31266
KIA;Niro-EV;65;167;165|65-R17;350;AAAE-642;2020;45498
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABG-774;2021;34224
VW;e-up!;18;130;165|65-R15;130;AABD-059;2022;29721
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACM-777;2023;21221
KIA;Niro-EV;65;167;165|65-R17;350;AACE-256;2019;52637
KIA;Niro-EV;65;167;165|65-R17;350;NCP-485;2021;38612
VW;e-up!;18;130;165|65-R15;130;TSD-677;2021;31231
VW;e-up!;18;130;165|65-R15;130;NEE-471;2023;23028
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABE-161;2022;33010
VW;e-up!;18;130;165|65-R15;130;SVE-385;2023;29744
VW;e-up!;18;130;165|65-R15;130;TAH-297;2022;30585
VW;e-up!;18;130;165|65-R15;130;AACK-384;2023;21477
VW;e-up!;36;130;165|65-R15;300;NCR-126;2022;33667
KIA;Niro-EV;65;167;165|65-R17;350;AABN-879;2023;20390
VW;e-up!;36;130;165|65-R15;300;PVC-181;2019;59723
VW;e-up!;36;130;165|65-R15;300;TXD-255;2020;54916
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACC-987;2023;21790
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAH-142;2020;57905
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACJ-842;2019;51962
VW;e-up!;18;130;165|65-R15;130;SWX-102;2020;43341
KIA;Niro-EV;65;167;165|65-R17;350;TTR-643;2019;56479
VW;e-up!;36;130;165|65-R15;300;SAH-228;2022;27795
Opel;Vivaro-e;50;192;165|65-R16;320;NMZ-088;2019;58596
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABO-313;2019;56647
Opel;Vivaro-e;50;192;165|65-R16;320;MRN-582;2019;55312
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACF-424;2019;57992
KIA;Niro-EV;65;167;165|65-R17;350;SLZ-589;2020;50788
VW;e-up!;18;130;165|65-R15;130;AABA-462;2019;56103
Skoda;Citigo|e-iV;36;130;165|65-R16;300;SAW-728;2023;29580
Opel;Vivaro-e;50;192;165|65-R16;320;AACC-323;2019;54040
Opel;Vivaro-e;50;192;165|65-R16;320;NRL-944;2023;21129
Opel;Vivaro-e;50;192;165|65-R16;320;SWR-218;2019;56127
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AACD-265;2021;31161
Opel;Vivaro-e;50;192;165|65-R16;320;AABI-982;2019;58002
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABD-189;2020;40373
VW;e-up!;36;130;165|65-R15;300;AAAD-062;2022;31726
VW;e-up!;36;130;165|65-R15;300;AACA-890;2020;59463
VW;e-up!;18;130;165|65-R15;130;PAA-144;2019;56410
VW;e-up!;36;130;165|65-R15;300;AABH-537;2022;30944
KIA;Niro-EV;65;167;165|65-R17;350;AABG-518;2021;32813
Opel;Vivaro-e;50;192;165|65-R16;320;AACN-570;2020;53010
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AAAA-952;2021;39983
Opel;Vivaro-e;50;192;165|65-R16;320;AABB-255;2020;59023
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABI-748;2022;25821
VW;e-up!;36;130;165|65-R15;300;NQY-409;2023;23339
Opel;Vivaro-e;50;192;165|65-R16;320;SMY-534;2022;34031
KIA;Niro-EV;65;167;165|65-R17;350;PHK-386;2022;29455
Opel;Vivaro-e;50;192;165|65-R16;320;NBN-641;2023;23159
VW;e-up!;36;130;165|65-R15;300;AAAD-856;2020;46366
VW;e-up!;36;130;165|65-R15;300;PRS-276;2022;32045
VW;e-up!;36;130;165|65-R15;300;AABA-064;2019;53214
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MQJ-463;2019;55503
KIA;Niro-EV;65;167;165|65-R17;350;SRG-373;2023;21747
Opel;Vivaro-e;50;192;165|65-R16;320;AAAA-026;2019;55870
KIA;Niro-EV;65;167;165|65-R17;350;SOS-090;2020;53800
VW;e-up!;36;130;165|65-R15;300;PHE-946;2021;32674
VW;e-up!;36;130;165|65-R15;300;SMC-818;2023;29206
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABF-085;2019;55020
Skoda;Citigo|e-iV;36;130;165|65-R16;300;AABE-748;2020;43626
Skoda;Citigo|e-iV;36;130;165|65-R16;300;SUX-927;2022;33449
Opel;Vivaro-e;50;192;165|65-R16;320;AACA-912;2023;21596
KIA;Niro-EV;65;167;165|65-R17;350;AABN-828;2019;59694
VW;e-up!;36;130;165|65-R15;300;NTM-485;2022;25182
Opel;Vivaro-e;50;192;165|65-R16;320;AAAE-910;2019;52825
