Rendszam;Tipus;Besorolas
AACB-090;e-up!;1
PAF-263;Kangoo-Z.E.;3
NXZ-949;e-up!;2
AABO-637;e-up!;1
NZX-748;e-up!;2
AAAL-838;e-up!;1
TVP-538;Niro-EV;5
AABH-434;Citigo|e-iV;2
AAAG-457;Vivaro-e;4
AACA-321;Vivaro-e;4
AAAB-622;e-up!;2
NJK-395;Vivaro-e;4
AAAD-798;e-up!;2
AACF-837;Vivaro-e;4
SJI-930;Vivaro-e;4
SCI-862;e-up!;2
TET-309;Kangoo-Z.E.;3
AAAO-160;e-up!;1
AABI-168;Vivaro-e;4
SEH-128;Niro-EV;5
NIB-537;e-up!;1
AABB-396;Vivaro-e;4
SYI-661;e-up!;1
RUB-772;e-up!;1
AABH-645;e-up!;2
SHB-972;Niro-EV;5
AABF-071;Citigo|e-iV;2
NWU-157;Niro-EV;5
AABE-454;Vivaro-e;4
AAAA-409;e-up!;2
AABH-964;Kangoo-Z.E.;3
TGK-460;Niro-EV;5
MNY-864;Kangoo-Z.E.;3
RKZ-310;Citigo|e-iV;2
AAAA-008;Vivaro-e;4
TZW-297;e-up!;2
AABL-991;Vivaro-e;4
RUO-863;Citigo|e-iV;2
TRO-141;e-up!;2
MSW-800;Citigo|e-iV;2
AACC-357;Citigo|e-iV;2
TLJ-856;Niro-EV;5
SCV-440;e-up!;1
AABH-607;Kangoo-Z.E.;3
AACG-451;Vivaro-e;4
TKR-182;Vivaro-e;4
AAAO-826;e-up!;2
PFZ-625;e-up!;1
TZD-895;Kangoo-Z.E.;3
AAAO-283;e-up!;1
AAAM-427;Vivaro-e;4
AAAF-624;Citigo|e-iV;2
AABE-420;e-up!;1
MYD-981;Kangoo-Z.E.;3
AABO-966;Kangoo-Z.E.;3
AACD-295;Kangoo-Z.E.;3
AAAJ-747;Citigo|e-iV;2
TBI-059;Kangoo-Z.E.;3
MPU-188;Kangoo-Z.E.;3
TNQ-249;Citigo|e-iV;2
PVF-513;e-up!;1
AACD-231;e-up!;1
PWL-434;e-up!;2
AACN-776;Citigo|e-iV;2
NRX-461;Niro-EV;5
AACN-568;Citigo|e-iV;2
AACK-622;e-up!;2
AAAH-595;e-up!;2
AABE-516;Niro-EV;5
MYQ-828;Niro-EV;5
MRH-011;Vivaro-e;4
MIW-499;Niro-EV;5
AABK-512;e-up!;2
RPI-433;Niro-EV;5
AACD-228;Kangoo-Z.E.;3
MHK-920;Citigo|e-iV;2
AACI-627;Citigo|e-iV;2
AAAL-747;e-up!;1
AACN-040;Kangoo-Z.E.;3
AABG-331;Kangoo-Z.E.;3
AABF-927;Kangoo-Z.E.;3
MEV-168;Niro-EV;5
AAAA-706;Citigo|e-iV;2
PLI-164;e-up!;1
RGA-042;e-up!;2
SZA-282;Vivaro-e;4
PWQ-904;Citigo|e-iV;2
RZT-483;Niro-EV;5
AAAM-929;e-up!;1
AAAK-412;Niro-EV;5
AABA-768;Vivaro-e;4
AACC-926;Citigo|e-iV;2
MEJ-036;e-up!;1
AAAH-626;Vivaro-e;4
NMM-402;Niro-EV;5
SKC-937;Citigo|e-iV;2
AACH-408;Kangoo-Z.E.;3
AABI-352;Kangoo-Z.E.;3
AAAO-571;Niro-EV;5
AACF-397;e-up!;2
AABD-525;Kangoo-Z.E.;3
AABB-445;Kangoo-Z.E.;3
AAAH-072;Kangoo-Z.E.;3
AAAA-157;Vivaro-e;4
NVD-876;Vivaro-e;4
AABH-448;Kangoo-Z.E.;3
AAAF-284;e-up!;2
SGD-466;Vivaro-e;4
AAAG-384;Vivaro-e;4
SZR-004;e-up!;2
AACN-499;Niro-EV;5
SRP-912;Kangoo-Z.E.;3
RRL-521;e-up!;2
AACL-001;Citigo|e-iV;2
AABM-571;Citigo|e-iV;2
AAAD-132;e-up!;1
AACF-714;e-up!;1
SLM-982;Niro-EV;5
REA-969;Kangoo-Z.E.;3
AACH-636;e-up!;2
NUN-137;Niro-EV;5
AAAB-377;Vivaro-e;4
AABE-339;e-up!;2
AACK-438;e-up!;2
TPT-379;e-up!;1
NVB-851;e-up!;1
AABB-702;Vivaro-e;4
AACG-927;e-up!;1
AABO-540;Niro-EV;5
TMO-984;Vivaro-e;4
PGR-220;Niro-EV;5
AABD-694;e-up!;2
RZP-822;e-up!;1
RBV-562;Kangoo-Z.E.;3
MQM-984;e-up!;2
TRG-416;Niro-EV;5
MEB-668;Niro-EV;5
TUD-562;e-up!;2
AABM-658;e-up!;2
RFB-416;Citigo|e-iV;2
AAAG-931;Vivaro-e;4
RDR-601;e-up!;2
AACF-037;Kangoo-Z.E.;3
AACG-802;Citigo|e-iV;2
AACB-736;e-up!;1
AACE-331;Kangoo-Z.E.;3
AAAM-097;Vivaro-e;4
AAAJ-751;e-up!;2
AACB-473;Citigo|e-iV;2
AACI-145;Kangoo-Z.E.;3
AABA-544;Kangoo-Z.E.;3
AACN-232;Niro-EV;5
AAAC-168;Kangoo-Z.E.;3
NPC-204;e-up!;2
SKL-129;Citigo|e-iV;2
NZV-668;Vivaro-e;4
MNY-377;Vivaro-e;4
SSV-811;Citigo|e-iV;2
TPR-983;e-up!;2
SMA-625;e-up!;2
TYE-877;Vivaro-e;4
