Gyarto;Tipus;Teljesitmeny;Vegsebesseg;Gumimeret;Hatótav;Rendszam;Gyartasi_ev;Km_ora_allas
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SSZ-029;2019;55816
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NOX-895;2023;22974
KIA;Niro-EV;65;167;165|65-R17;350;TYT-959;2022;28499
Opel;Vivaro-e;50;192;165|65-R16;320;RAR-506;2023;22373
Opel;Vivaro-e;50;192;165|65-R16;320;AAAI-609;2023;26728
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABO-026;2019;51880
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABJ-900;2022;25516
VW;e-up!;18;130;165|65-R15;130;AACB-758;2020;47594
VW;e-up!;18;130;165|65-R15;130;AABH-953;2022;29491
VW;e-up!;18;130;165|65-R15;130;SWK-203;2020;53865
Skoda;Citigo-e-iV;36;130;165|65-R16;300;SBA-337;2022;26545
VW;e-up!;18;130;165|65-R15;130;AABJ-977;2023;20667
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TEB-960;2020;45193
Opel;Vivaro-e;50;192;165|65-R16;320;RWU-757;2021;31709
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SRO-056;2020;58021
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABH-141;2021;32023
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABB-171;2020;56028
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MGW-766;2022;30341
VW;e-up!;36;130;165|65-R15;300;AAAG-308;2023;29776
VW;e-up!;18;130;165|65-R15;130;NDB-274;2019;53269
VW;e-up!;18;130;165|65-R15;130;AACM-457;2021;35776
VW;e-up!;18;130;165|65-R15;130;AABL-538;2019;54504
KIA;Niro-EV;65;167;165|65-R17;350;SQK-119;2021;33337
KIA;Niro-EV;65;167;165|65-R17;350;SPG-713;2020;50903
VW;e-up!;36;130;165|65-R15;300;AAAA-370;2023;24172
Skoda;Citigo-e-iV;36;130;165|65-R16;300;NNY-726;2020;59282
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAJ-001;2021;38004
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACH-141;2021;38243
VW;e-up!;18;130;165|65-R15;130;AAAO-718;2023;29929
VW;e-up!;36;130;165|65-R15;300;AAAD-631;2021;33087
Opel;Vivaro-e;50;192;165|65-R16;320;AACB-753;2022;26455
Opel;Vivaro-e;50;192;165|65-R16;320;AABM-276;2022;27309
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAL-456;2022;28966
KIA;Niro-EV;65;167;165|65-R17;350;MTE-839;2021;37750
Opel;Vivaro-e;50;192;165|65-R16;320;RWP-355;2022;32763
Opel;Vivaro-e;50;192;165|65-R16;320;NLC-745;2019;50720
Opel;Vivaro-e;50;192;165|65-R16;320;AABF-045;2021;31296
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAO-869;2021;39570
VW;e-up!;18;130;165|65-R15;130;RVW-446;2022;31741
VW;e-up!;18;130;165|65-R15;130;MAZ-904;2019;59783
VW;e-up!;36;130;165|65-R15;300;NOB-674;2020;54849
VW;e-up!;18;130;165|65-R15;130;AABK-513;2021;37613
VW;e-up!;18;130;165|65-R15;130;AABB-439;2019;58081
Opel;Vivaro-e;50;192;165|65-R16;320;AACJ-403;2023;24209
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABB-054;2022;31470
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABA-244;2023;24189
VW;e-up!;36;130;165|65-R15;300;AAAM-625;2021;38667
Opel;Vivaro-e;50;192;165|65-R16;320;MMG-451;2023;29181
VW;e-up!;18;130;165|65-R15;130;RIE-932;2020;47955
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABO-006;2023;26540
KIA;Niro-EV;65;167;165|65-R17;350;AABO-083;2022;28726
VW;e-up!;36;130;165|65-R15;300;AABO-481;2022;26446
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAC-195;2021;38538
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAL-417;2019;54044
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACG-713;2019;54175
Skoda;Citigo-e-iV;36;130;165|65-R16;300;RHI-672;2022;29984
Opel;Vivaro-e;50;192;165|65-R16;320;AACO-658;2023;26727
KIA;Niro-EV;65;167;165|65-R17;350;AACO-832;2023;28663
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAF-446;2022;32841
KIA;Niro-EV;65;167;165|65-R17;350;AACI-395;2022;32425
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PCU-859;2022;32008
VW;e-up!;36;130;165|65-R15;300;AAAD-039;2021;34798
VW;e-up!;18;130;165|65-R15;130;AACB-924;2021;34992
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RJQ-026;2020;56641
KIA;Niro-EV;65;167;165|65-R17;350;TFR-236;2022;26756
KIA;Niro-EV;65;167;165|65-R17;350;AABM-945;2019;57394
KIA;Niro-EV;65;167;165|65-R17;350;THB-198;2022;27626
KIA;Niro-EV;65;167;165|65-R17;350;TBP-610;2021;34922
Opel;Vivaro-e;50;192;165|65-R16;320;AAAF-808;2023;27349
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TJG-765;2021;34204
KIA;Niro-EV;65;167;165|65-R17;350;MSX-489;2019;53963
KIA;Niro-EV;65;167;165|65-R17;350;AACN-270;2023;29084
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SGO-128;2019;55889
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAJ-696;2022;34424
VW;e-up!;18;130;165|65-R15;130;AABM-005;2021;33310
Opel;Vivaro-e;50;192;165|65-R16;320;NYU-208;2023;24973
Opel;Vivaro-e;50;192;165|65-R16;320;AAAL-793;2020;44985
KIA;Niro-EV;65;167;165|65-R17;350;AACD-634;2022;33093
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABG-056;2023;25471
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RWL-036;2019;53203
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TYZ-877;2023;21035
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACL-158;2023;20964
Opel;Vivaro-e;50;192;165|65-R16;320;AAAL-173;2020;58589
VW;e-up!;18;130;165|65-R15;130;SAQ-393;2022;29185
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TJT-983;2023;23156
VW;e-up!;36;130;165|65-R15;300;NSS-336;2022;33667
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAN-455;2019;57524
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACA-575;2021;39747
KIA;Niro-EV;65;167;165|65-R17;350;PFK-472;2021;32686
Opel;Vivaro-e;50;192;165|65-R16;320;NFL-804;2022;32518
Opel;Vivaro-e;50;192;165|65-R16;320;TTV-101;2020;59859
VW;e-up!;18;130;165|65-R15;130;AACM-408;2019;59829
VW;e-up!;36;130;165|65-R15;300;AABD-817;2022;34892
VW;e-up!;18;130;165|65-R15;130;TML-774;2022;30008
VW;e-up!;36;130;165|65-R15;300;MDP-848;2021;37412
VW;e-up!;18;130;165|65-R15;130;AAAN-618;2019;55653
VW;e-up!;18;130;165|65-R15;130;AACO-539;2023;23505
VW;e-up!;18;130;165|65-R15;130;MNO-766;2023;27273
KIA;Niro-EV;65;167;165|65-R17;350;PXT-886;2022;27958
VW;e-up!;36;130;165|65-R15;300;AACJ-440;2022;30609
VW;e-up!;18;130;165|65-R15;130;AACM-985;2020;56603
VW;e-up!;36;130;165|65-R15;300;PZM-327;2020;56680
KIA;Niro-EV;65;167;165|65-R17;350;RZK-699;2019;58959
VW;e-up!;36;130;165|65-R15;300;TWB-233;2021;36373
KIA;Niro-EV;65;167;165|65-R17;350;SWB-680;2023;22625
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAG-331;2020;56881
KIA;Niro-EV;65;167;165|65-R17;350;RIO-101;2023;28970
VW;e-up!;18;130;165|65-R15;130;MUS-425;2023;27933
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MET-024;2019;51994
KIA;Niro-EV;65;167;165|65-R17;350;AACO-973;2022;25297
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SFC-411;2020;55433
KIA;Niro-EV;65;167;165|65-R17;350;AACG-299;2020;47482
VW;e-up!;36;130;165|65-R15;300;SXS-578;2019;59614
VW;e-up!;36;130;165|65-R15;300;AACB-061;2021;33206
KIA;Niro-EV;65;167;165|65-R17;350;NAY-733;2019;59866
Opel;Vivaro-e;50;192;165|65-R16;320;AABN-768;2022;33191
VW;e-up!;36;130;165|65-R15;300;RLA-370;2023;20114
Opel;Vivaro-e;50;192;165|65-R16;320;AACB-357;2023;23838
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACE-805;2020;41893
KIA;Niro-EV;65;167;165|65-R17;350;AACN-752;2021;38436
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NFN-625;2023;23162
VW;e-up!;36;130;165|65-R15;300;AAAA-548;2023;28016
VW;e-up!;18;130;165|65-R15;130;AABO-247;2023;25035
Opel;Vivaro-e;50;192;165|65-R16;320;PGN-849;2022;29791
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SIL-006;2021;36688
Opel;Vivaro-e;50;192;165|65-R16;320;SDZ-475;2021;34004
Opel;Vivaro-e;50;192;165|65-R16;320;SHQ-481;2022;25052
VW;e-up!;36;130;165|65-R15;300;AABM-043;2022;25050
KIA;Niro-EV;65;167;165|65-R17;350;AABN-720;2022;32506
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MKT-235;2023;22100
Opel;Vivaro-e;50;192;165|65-R16;320;AAAL-058;2021;37197
VW;e-up!;36;130;165|65-R15;300;AACN-720;2022;25875
VW;e-up!;18;130;165|65-R15;130;AAAM-664;2019;50498
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAN-639;2020;48868
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACE-609;2022;34885
KIA;Niro-EV;65;167;165|65-R17;350;PSI-392;2021;38908
Opel;Vivaro-e;50;192;165|65-R16;320;STJ-313;2023;25484
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAM-027;2019;54248
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACG-076;2023;27993
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAE-588;2019;54469
Skoda;Citigo-e-iV;36;130;165|65-R16;300;NTX-688;2022;33171
VW;e-up!;18;130;165|65-R15;130;AAAO-117;2020;49157
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SGM-137;2022;34005
VW;e-up!;36;130;165|65-R15;300;NQR-536;2023;28394
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TSE-471;2020;40529
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAN-770;2021;32811
VW;e-up!;36;130;165|65-R15;300;NBY-904;2020;44328
VW;e-up!;18;130;165|65-R15;130;PNO-840;2020;40970
VW;e-up!;36;130;165|65-R15;300;PYB-776;2021;35706
Opel;Vivaro-e;50;192;165|65-R16;320;NMM-654;2023;23498
KIA;Niro-EV;65;167;165|65-R17;350;RYN-621;2023;21780
Opel;Vivaro-e;50;192;165|65-R16;320;RQN-466;2022;34278
Opel;Vivaro-e;50;192;165|65-R16;320;MRQ-562;2019;58364
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACF-679;2021;38209
Opel;Vivaro-e;50;192;165|65-R16;320;AACN-186;2021;32392
VW;e-up!;18;130;165|65-R15;130;RRZ-702;2022;26623
VW;e-up!;36;130;165|65-R15;300;SUB-305;2022;34248
VW;e-up!;36;130;165|65-R15;300;AABB-774;2023;29338
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABH-217;2023;23694
KIA;Niro-EV;65;167;165|65-R17;350;SRF-847;2020;54576
Skoda;Citigo-e-iV;36;130;165|65-R16;300;SFH-111;2020;40263
VW;e-up!;36;130;165|65-R15;300;AABG-580;2020;59090
VW;e-up!;18;130;165|65-R15;130;AABK-115;2019;54589
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MIT-353;2020;40506
Opel;Vivaro-e;50;192;165|65-R16;320;AAAJ-125;2019;59182
KIA;Niro-EV;65;167;165|65-R17;350;AACN-286;2023;26311
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAB-417;2020;43892
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABJ-894;2023;24037
KIA;Niro-EV;65;167;165|65-R17;350;SQF-134;2019;59355
VW;e-up!;36;130;165|65-R15;300;AAAI-506;2023;28343
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RUC-255;2022;34675
Opel;Vivaro-e;50;192;165|65-R16;320;AABI-666;2021;32812
VW;e-up!;36;130;165|65-R15;300;AACD-251;2021;33476
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACC-189;2019;53008
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MEZ-966;2023;23835
VW;e-up!;36;130;165|65-R15;300;AABB-513;2023;28912
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PGO-436;2021;36874
KIA;Niro-EV;65;167;165|65-R17;350;AACI-700;2020;48657
Opel;Vivaro-e;50;192;165|65-R16;320;AABG-512;2019;50171
VW;e-up!;18;130;165|65-R15;130;RSB-091;2022;28843
Opel;Vivaro-e;50;192;165|65-R16;320;RIJ-649;2023;26382
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABL-818;2022;28999
VW;e-up!;36;130;165|65-R15;300;AACN-200;2020;48512
Skoda;Citigo-e-iV;36;130;165|65-R16;300;RXM-206;2023;27458
KIA;Niro-EV;65;167;165|65-R17;350;AABL-825;2021;38341
Opel;Vivaro-e;50;192;165|65-R16;320;AABE-322;2021;39563
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TRH-299;2019;57192
Opel;Vivaro-e;50;192;165|65-R16;320;SHR-875;2020;43366
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACM-067;2019;55031
VW;e-up!;36;130;165|65-R15;300;NQT-994;2023;25353
VW;e-up!;36;130;165|65-R15;300;AABB-871;2019;57996
Opel;Vivaro-e;50;192;165|65-R16;320;NPJ-857;2019;51872
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TEJ-913;2020;51377
KIA;Niro-EV;65;167;165|65-R17;350;AACC-579;2023;26322
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACA-449;2022;31184
KIA;Niro-EV;65;167;165|65-R17;350;AABO-351;2021;32343
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NQT-197;2020;41384
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAD-591;2022;28175
Skoda;Citigo-e-iV;36;130;165|65-R16;300;RWY-013;2019;52610
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PFG-105;2021;30175
KIA;Niro-EV;65;167;165|65-R17;350;TDI-634;2021;35941
VW;e-up!;36;130;165|65-R15;300;AACJ-743;2020;40980
VW;e-up!;18;130;165|65-R15;130;AAAH-191;2023;27350
KIA;Niro-EV;65;167;165|65-R17;350;MVA-918;2020;48344
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TGS-445;2023;25507
VW;e-up!;36;130;165|65-R15;300;AABL-441;2022;28778
VW;e-up!;18;130;165|65-R15;130;MIS-918;2023;22765
Opel;Vivaro-e;50;192;165|65-R16;320;AACK-765;2021;38219
VW;e-up!;36;130;165|65-R15;300;TND-400;2021;30182
VW;e-up!;18;130;165|65-R15;130;AAAF-941;2019;53505
VW;e-up!;36;130;165|65-R15;300;AABB-414;2019;55227
VW;e-up!;18;130;165|65-R15;130;AACO-716;2023;22074
Skoda;Citigo-e-iV;36;130;165|65-R16;300;MLB-914;2022;25961
Skoda;Citigo-e-iV;36;130;165|65-R16;300;MQW-119;2020;40852
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAF-874;2023;29227
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NOP-356;2023;20526
Opel;Vivaro-e;50;192;165|65-R16;320;MDH-144;2023;25086
KIA;Niro-EV;65;167;165|65-R17;350;AACM-442;2022;30139
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PPR-448;2020;40792
KIA;Niro-EV;65;167;165|65-R17;350;SCH-553;2020;45701
VW;e-up!;36;130;165|65-R15;300;AABF-576;2023;28551
VW;e-up!;36;130;165|65-R15;300;THZ-906;2020;55061
VW;e-up!;18;130;165|65-R15;130;SFA-059;2022;30046
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PUY-666;2021;36697
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACK-976;2019;52014
KIA;Niro-EV;65;167;165|65-R17;350;AACK-776;2022;32395
VW;e-up!;18;130;165|65-R15;130;AACC-559;2019;53826
Opel;Vivaro-e;50;192;165|65-R16;320;MFK-600;2020;55761
VW;e-up!;18;130;165|65-R15;130;AACH-108;2019;57553
Opel;Vivaro-e;50;192;165|65-R16;320;AABN-499;2023;21454
KIA;Niro-EV;65;167;165|65-R17;350;AABB-758;2020;57925
VW;e-up!;18;130;165|65-R15;130;MWB-292;2022;25865
Opel;Vivaro-e;50;192;165|65-R16;320;RJZ-321;2019;58050
KIA;Niro-EV;65;167;165|65-R17;350;NYQ-210;2023;26895
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABA-905;2019;55199
VW;e-up!;36;130;165|65-R15;300;TTN-425;2023;20562
VW;e-up!;36;130;165|65-R15;300;MLE-316;2023;28889
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABA-801;2019;55227
VW;e-up!;18;130;165|65-R15;130;AABK-019;2021;31018
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MLJ-613;2023;22603
VW;e-up!;36;130;165|65-R15;300;SPF-587;2019;56159
KIA;Niro-EV;65;167;165|65-R17;350;MDJ-568;2023;20714
VW;e-up!;36;130;165|65-R15;300;TBN-449;2019;54776
Opel;Vivaro-e;50;192;165|65-R16;320;AAAJ-538;2021;35846
Opel;Vivaro-e;50;192;165|65-R16;320;AAAJ-889;2019;53589
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACL-035;2019;58218
Opel;Vivaro-e;50;192;165|65-R16;320;SLI-317;2022;30210
KIA;Niro-EV;65;167;165|65-R17;350;AAAK-924;2023;23381
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;SXQ-351;2023;22620
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NDV-708;2019;52219
Skoda;Citigo-e-iV;36;130;165|65-R16;300;SMM-640;2022;27895
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABD-007;2022;29562
KIA;Niro-EV;65;167;165|65-R17;350;NWU-857;2023;20703
Opel;Vivaro-e;50;192;165|65-R16;320;AACD-963;2022;27192
Opel;Vivaro-e;50;192;165|65-R16;320;THV-661;2019;57558
KIA;Niro-EV;65;167;165|65-R17;350;AACM-708;2023;21627
VW;e-up!;18;130;165|65-R15;130;SIX-387;2019;56431
VW;e-up!;18;130;165|65-R15;130;AAAG-444;2023;25284
VW;e-up!;36;130;165|65-R15;300;AACI-307;2021;30507
KIA;Niro-EV;65;167;165|65-R17;350;AABB-466;2020;41185
VW;e-up!;36;130;165|65-R15;300;AACC-013;2022;30268
VW;e-up!;36;130;165|65-R15;300;NTF-947;2019;55309
VW;e-up!;36;130;165|65-R15;300;RDI-611;2020;55741
Opel;Vivaro-e;50;192;165|65-R16;320;AAAB-027;2023;20914
