Rendszam;Tipus;Besorolas
SZT-748;Vivaro-e;4
AABM-168;e-up!;2
NXG-961;e-up!;2
NDC-286;Niro-EV;5
AAAB-212;e-up!;1
PND-857;Citigo-e-iV;2
AABA-393;e-up!;1
SSZ-029;Kangoo-Z.E.;3
NOX-895;Kangoo-Z.E.;3
TYT-959;Niro-EV;5
RAR-506;Vivaro-e;4
AAAI-609;Vivaro-e;4
AABO-026;Citigo-e-iV;2
AABJ-900;Kangoo-Z.E.;3
AACB-758;e-up!;1
AABH-953;e-up!;1
SWK-203;e-up!;1
SBA-337;Citigo-e-iV;2
AABJ-977;e-up!;1
TEB-960;Kangoo-Z.E.;3
RWU-757;Vivaro-e;4
SRO-056;Kangoo-Z.E.;3
AABH-141;Citigo-e-iV;2
AABB-171;Citigo-e-iV;2
MGW-766;Kangoo-Z.E.;3
AAAG-308;e-up!;2
NDB-274;e-up!;1
AACM-457;e-up!;1
AABL-538;e-up!;1
SQK-119;Niro-EV;5
SPG-713;Niro-EV;5
AAAA-370;e-up!;2
NNY-726;Citigo-e-iV;2
AAAJ-001;Citigo-e-iV;2
AACH-141;Citigo-e-iV;2
AAAO-718;e-up!;1
AAAD-631;e-up!;2
AACB-753;Vivaro-e;4
AABM-276;Vivaro-e;4
AAAL-456;Kangoo-Z.E.;3
MTE-839;Niro-EV;5
RWP-355;Vivaro-e;4
NLC-745;Vivaro-e;4
AABF-045;Vivaro-e;4
AAAO-869;Citigo-e-iV;2
RVW-446;e-up!;1
MAZ-904;e-up!;1
NOB-674;e-up!;2
AABK-513;e-up!;1
AABB-439;e-up!;1
AACJ-403;Vivaro-e;4
AABB-054;Kangoo-Z.E.;3
AABA-244;Citigo-e-iV;2
AAAM-625;e-up!;2
MMG-451;Vivaro-e;4
RIE-932;e-up!;1
AABO-006;Citigo-e-iV;2
AABO-083;Niro-EV;5
AABO-481;e-up!;2
AAAC-195;Kangoo-Z.E.;3
AAAL-417;Kangoo-Z.E.;3
AACG-713;Kangoo-Z.E.;3
RHI-672;Citigo-e-iV;2
AACO-658;Vivaro-e;4
AACO-832;Niro-EV;5
AAAF-446;Kangoo-Z.E.;3
AACI-395;Niro-EV;5
PCU-859;Citigo-e-iV;2
AAAD-039;e-up!;2
AACB-924;e-up!;1
RJQ-026;Kangoo-Z.E.;3
TFR-236;Niro-EV;5
AABM-945;Niro-EV;5
THB-198;Niro-EV;5
TBP-610;Niro-EV;5
AAAF-808;Vivaro-e;4
TJG-765;Kangoo-Z.E.;3
MSX-489;Niro-EV;5
AACN-270;Niro-EV;5
SGO-128;Kangoo-Z.E.;3
AAAJ-696;Kangoo-Z.E.;3
AABM-005;e-up!;1
NYU-208;Vivaro-e;4
AAAL-793;Vivaro-e;4
AACD-634;Niro-EV;5
AABG-056;Citigo-e-iV;2
RWL-036;Kangoo-Z.E.;3
TYZ-877;Citigo-e-iV;2
AACL-158;Citigo-e-iV;2
AAAL-173;Vivaro-e;4
SAQ-393;e-up!;1
TJT-983;Citigo-e-iV;2
NSS-336;e-up!;2
AAAN-455;Citigo-e-iV;2
AACA-575;Citigo-e-iV;2
PFK-472;Niro-EV;5
NFL-804;Vivaro-e;4
TTV-101;Vivaro-e;4
AACM-408;e-up!;1
AABD-817;e-up!;2
TML-774;e-up!;1
MDP-848;e-up!;2
AAAN-618;e-up!;1
AACO-539;e-up!;1
MNO-766;e-up!;1
PXT-886;Niro-EV;5
AACJ-440;e-up!;2
AACM-985;e-up!;1
PZM-327;e-up!;2
RZK-699;Niro-EV;5
TWB-233;e-up!;2
SWB-680;Niro-EV;5
AAAG-331;Citigo-e-iV;2
RIO-101;Niro-EV;5
MUS-425;e-up!;1
MET-024;Kangoo-Z.E.;3
AACO-973;Niro-EV;5
SFC-411;Kangoo-Z.E.;3
AACG-299;Niro-EV;5
SXS-578;e-up!;2
AACB-061;e-up!;2
NAY-733;Niro-EV;5
AABN-768;Vivaro-e;4
RLA-370;e-up!;2
AACB-357;Vivaro-e;4
AACE-805;Kangoo-Z.E.;3
AACN-752;Niro-EV;5
NFN-625;Kangoo-Z.E.;3
AAAA-548;e-up!;2
AABO-247;e-up!;1
PGN-849;Vivaro-e;4
SIL-006;Kangoo-Z.E.;3
SDZ-475;Vivaro-e;4
SHQ-481;Vivaro-e;4
AABM-043;e-up!;2
AABN-720;Niro-EV;5
MKT-235;Kangoo-Z.E.;3
AAAL-058;Vivaro-e;4
AACN-720;e-up!;2
AAAM-664;e-up!;1
AAAN-639;Kangoo-Z.E.;3
AACE-609;Kangoo-Z.E.;3
PSI-392;Niro-EV;5
STJ-313;Vivaro-e;4
AAAM-027;Citigo-e-iV;2
AACG-076;Citigo-e-iV;2
AAAE-588;Kangoo-Z.E.;3
NTX-688;Citigo-e-iV;2
AAAO-117;e-up!;1
SGM-137;Kangoo-Z.E.;3
NQR-536;e-up!;2
TSE-471;Kangoo-Z.E.;3
AAAN-770;Kangoo-Z.E.;3
NBY-904;e-up!;2
PNO-840;e-up!;1
PYB-776;e-up!;2
NMM-654;Vivaro-e;4
RYN-621;Niro-EV;5
RQN-466;Vivaro-e;4
MRQ-562;Vivaro-e;4
AACF-679;Citigo-e-iV;2
AACN-186;Vivaro-e;4
RRZ-702;e-up!;1
SUB-305;e-up!;2
AABB-774;e-up!;2
AABH-217;Citigo-e-iV;2
SRF-847;Niro-EV;5
SFH-111;Citigo-e-iV;2
AABG-580;e-up!;2
AABK-115;e-up!;1
MIT-353;Kangoo-Z.E.;3
AAAJ-125;Vivaro-e;4
AACN-286;Niro-EV;5
AAAB-417;Kangoo-Z.E.;3
AABJ-894;Kangoo-Z.E.;3
SQF-134;Niro-EV;5
AAAI-506;e-up!;2
RUC-255;Kangoo-Z.E.;3
AABI-666;Vivaro-e;4
AACD-251;e-up!;2
AACC-189;Kangoo-Z.E.;3
MEZ-966;Kangoo-Z.E.;3
AABB-513;e-up!;2
PGO-436;Citigo-e-iV;2
AACI-700;Niro-EV;5
AABG-512;Vivaro-e;4
RSB-091;e-up!;1
RIJ-649;Vivaro-e;4
AABL-818;Citigo-e-iV;2
AACN-200;e-up!;2
RXM-206;Citigo-e-iV;2
AABL-825;Niro-EV;5
AABE-322;Vivaro-e;4
TRH-299;Citigo-e-iV;2
SHR-875;Vivaro-e;4
AACM-067;Kangoo-Z.E.;3
NQT-994;e-up!;2
AABB-871;e-up!;2
NPJ-857;Vivaro-e;4
TEJ-913;Kangoo-Z.E.;3
AACC-579;Niro-EV;5
AACA-449;Kangoo-Z.E.;3
AABO-351;Niro-EV;5
NQT-197;Kangoo-Z.E.;3
AAAD-591;Kangoo-Z.E.;3
RWY-013;Citigo-e-iV;2
PFG-105;Citigo-e-iV;2
TDI-634;Niro-EV;5
AACJ-743;e-up!;2
AAAH-191;e-up!;1
MVA-918;Niro-EV;5
TGS-445;Citigo-e-iV;2
AABL-441;e-up!;2
MIS-918;e-up!;1
AACK-765;Vivaro-e;4
TND-400;e-up!;2
AAAF-941;e-up!;1
AABB-414;e-up!;2
AACO-716;e-up!;1
MLB-914;Citigo-e-iV;2
MQW-119;Citigo-e-iV;2
AAAF-874;Kangoo-Z.E.;3
NOP-356;Kangoo-Z.E.;3
MDH-144;Vivaro-e;4
AACM-442;Niro-EV;5
PPR-448;Kangoo-Z.E.;3
SCH-553;Niro-EV;5
AABF-576;e-up!;2
THZ-906;e-up!;2
SFA-059;e-up!;1
PUY-666;Citigo-e-iV;2
AACK-976;Citigo-e-iV;2
AACK-776;Niro-EV;5
AACC-559;e-up!;1
MFK-600;Vivaro-e;4
AACH-108;e-up!;1
AABN-499;Vivaro-e;4
AABB-758;Niro-EV;5
MWB-292;e-up!;1
RJZ-321;Vivaro-e;4
NYQ-210;Niro-EV;5
AABA-905;Kangoo-Z.E.;3
TTN-425;e-up!;2
MLE-316;e-up!;2
AABA-801;Kangoo-Z.E.;3
AABK-019;e-up!;1
MLJ-613;Kangoo-Z.E.;3
SPF-587;e-up!;2
MDJ-568;Niro-EV;5
TBN-449;e-up!;2
AAAJ-538;Vivaro-e;4
AAAJ-889;Vivaro-e;4
AACL-035;Kangoo-Z.E.;3
SLI-317;Vivaro-e;4
AAAK-924;Niro-EV;5
SXQ-351;Kangoo-Z.E.;3
NDV-708;Kangoo-Z.E.;3
SMM-640;Citigo-e-iV;2
AABD-007;Kangoo-Z.E.;3
NWU-857;Niro-EV;5
AACD-963;Vivaro-e;4
THV-661;Vivaro-e;4
AACM-708;Niro-EV;5
SIX-387;e-up!;1
AAAG-444;e-up!;1
AACI-307;e-up!;2
AABB-466;Niro-EV;5
AACC-013;e-up!;2
NTF-947;e-up!;2
RDI-611;e-up!;2
AAAB-027;Vivaro-e;4
RVN-319;Citigo-e-iV;2
SZX-560;Citigo-e-iV;2
NWN-448;Niro-EV;5
NED-191;Niro-EV;5
RKH-662;e-up!;1
AAAI-783;Kangoo-Z.E.;3
PTJ-766;Citigo-e-iV;2
SLX-728;Niro-EV;5
AACF-099;Kangoo-Z.E.;3
AAAG-679;Niro-EV;5
AABO-661;e-up!;1
NGJ-420;e-up!;2
AACC-566;e-up!;1
AACL-255;Citigo-e-iV;2
RVG-323;Vivaro-e;4
NEB-029;e-up!;1
AACJ-519;e-up!;2
MYE-783;Niro-EV;5
PDF-313;Kangoo-Z.E.;3
AAAA-812;Niro-EV;5
PQW-058;Niro-EV;5
SSN-801;Niro-EV;5
AAAA-109;Vivaro-e;4
AABI-785;e-up!;1
TPC-754;Niro-EV;5
AABF-813;Vivaro-e;4
NGG-214;Citigo-e-iV;2
PAR-692;Citigo-e-iV;2
AACE-332;Niro-EV;5
PUS-558;Citigo-e-iV;2
TDV-496;Citigo-e-iV;2
SNP-880;e-up!;1
AACK-380;Niro-EV;5
MYD-110;Citigo-e-iV;2
MNJ-276;e-up!;1
PLU-021;Kangoo-Z.E.;3
MXZ-131;Vivaro-e;4
RDM-729;Niro-EV;5
RJH-887;Kangoo-Z.E.;3
RWW-208;Niro-EV;5
NFM-443;e-up!;1
TYZ-748;Citigo-e-iV;2
AABF-727;Kangoo-Z.E.;3
AAAJ-129;Citigo-e-iV;2
TIR-488;Citigo-e-iV;2
AABG-796;Citigo-e-iV;2
MOK-432;Niro-EV;5
MUT-778;Kangoo-Z.E.;3
AAAE-969;e-up!;2
NGT-438;e-up!;2
AACI-098;e-up!;1
AABE-607;e-up!;2
AACC-734;Niro-EV;5
AABM-907;e-up!;1
RSK-565;e-up!;1
AABE-710;Vivaro-e;4
AACJ-674;Vivaro-e;4
AACJ-594;Niro-EV;5
MCE-116;Vivaro-e;4
MAE-686;e-up!;1
MIX-833;e-up!;1
MHG-497;Vivaro-e;4
AAAO-108;e-up!;1
AACF-694;Niro-EV;5
AAAI-130;Vivaro-e;4
SNW-613;Niro-EV;5
AABO-035;e-up!;1
MUR-780;Vivaro-e;4
MFN-089;e-up!;1
TNE-009;e-up!;1
AABH-470;e-up!;1
PLU-850;e-up!;1
SRD-277;Niro-EV;5
AAAK-615;Citigo-e-iV;2
AAAN-583;Citigo-e-iV;2
AABB-814;Citigo-e-iV;2
TJZ-203;e-up!;2
AABO-078;e-up!;1
AACG-740;Citigo-e-iV;2
AACM-510;e-up!;1
AAAF-457;e-up!;1
TQF-324;Vivaro-e;4
AABM-190;Kangoo-Z.E.;3
POV-223;Kangoo-Z.E.;3
NWX-997;Citigo-e-iV;2
RXO-632;e-up!;1
AABM-278;e-up!;2
TNE-131;Kangoo-Z.E.;3
AACB-266;Citigo-e-iV;2
RON-272;Citigo-e-iV;2
AAAD-798;Vivaro-e;4
PYS-719;Vivaro-e;4
AACI-181;Kangoo-Z.E.;3
AAAA-608;e-up!;2
AABN-977;e-up!;1
SZM-478;e-up!;2
AACI-096;Vivaro-e;4
AABB-253;Citigo-e-iV;2
AACM-291;Kangoo-Z.E.;3
AAAM-840;Citigo-e-iV;2
AAAD-286;Niro-EV;5
AACO-733;Vivaro-e;4
RFI-895;Kangoo-Z.E.;3
RFD-812;e-up!;1
RQG-780;Niro-EV;5
AACA-063;Vivaro-e;4
MEC-860;Niro-EV;5
AACC-704;Kangoo-Z.E.;3
PON-520;Vivaro-e;4
RMC-536;Kangoo-Z.E.;3
MRE-641;Niro-EV;5
AACE-044;e-up!;2
MHX-615;e-up!;2
AABL-224;Vivaro-e;4
AAAE-014;e-up!;1
NYB-675;Niro-EV;5
MGN-471;Vivaro-e;4
RGN-983;e-up!;1
PNU-700;e-up!;2
MNZ-745;Kangoo-Z.E.;3
NIK-756;e-up!;1
AABE-069;Citigo-e-iV;2
RNE-523;Vivaro-e;4
AACM-439;Kangoo-Z.E.;3
AAAK-937;Niro-EV;5
NPK-212;e-up!;1
AABM-378;Niro-EV;5
AABG-373;Kangoo-Z.E.;3
AABF-277;Vivaro-e;4
PCS-617;e-up!;1
MJP-334;e-up!;1
AABG-110;e-up!;2
AABO-613;Kangoo-Z.E.;3
NFI-581;Kangoo-Z.E.;3
MTQ-016;Niro-EV;5
RAI-790;e-up!;2
NVM-996;Citigo-e-iV;2
PWT-121;e-up!;1
MYW-848;Citigo-e-iV;2
AACN-049;Vivaro-e;4
AAAN-985;Citigo-e-iV;2
POJ-542;Vivaro-e;4
AACE-062;Vivaro-e;4
RKQ-726;Vivaro-e;4
NHI-165;e-up!;2
TYJ-585;Niro-EV;5
AACE-116;Citigo-e-iV;2
AAAD-686;Niro-EV;5
AAAI-382;Niro-EV;5
AABG-576;Niro-EV;5
AAAD-337;e-up!;1
AAAH-342;Niro-EV;5
RGO-476;Kangoo-Z.E.;3
AABN-437;e-up!;2
TXA-187;e-up!;2
PJW-678;Vivaro-e;4
STR-178;e-up!;2
AAAG-798;e-up!;2
AAAM-609;e-up!;2
RXJ-369;e-up!;1
RQM-779;Kangoo-Z.E.;3
TMS-572;e-up!;2
AAAJ-158;Niro-EV;5
TUS-121;Niro-EV;5
MYF-757;e-up!;2
AAAM-911;Vivaro-e;4
AAAH-719;e-up!;1
AAAO-179;e-up!;2
AAAF-116;Niro-EV;5
PIQ-008;Kangoo-Z.E.;3
AABN-737;e-up!;2
AABC-950;Niro-EV;5
PPV-934;e-up!;2
AACI-649;Kangoo-Z.E.;3
